iter	Logloss
0	0.6001164293
1	0.5102080809
2	0.444294854
3	0.402218758
4	0.3660879357
5	0.336778452
6	0.3158005048
7	0.2991369367
8	0.2832156489
9	0.271539877
10	0.2611180922
11	0.2571358873
12	0.2491944576
13	0.2414983138
14	0.2353385555
15	0.2302809141
16	0.2267818865
17	0.2216241778
18	0.2174577837
19	0.2121068773
20	0.2078241107
21	0.2073017279
22	0.2042899595
23	0.2023281668
24	0.2002018276
25	0.1981317975
26	0.1952544636
27	0.1934341802
28	0.1909778226
29	0.1885315759
30	0.1871002537
31	0.1857951578
32	0.1846120581
33	0.1826481684
34	0.1810947951
35	0.1793388869
36	0.1767569962
37	0.1752842307
38	0.1738822791
39	0.1727983791
40	0.1715400899
41	0.1709174421
42	0.1696265989
43	0.1683997437
44	0.1676498883
45	0.1661712636
46	0.1653152265
47	0.1643300003
48	0.1626414167
49	0.1616877881
50	0.1609812101
51	0.1599696256
52	0.1594231908
53	0.1588359606
54	0.1578783646
55	0.1568259007
56	0.1562833629
57	0.1556957187
58	0.1548232273
59	0.154289322
60	0.1535530873
61	0.1531948653
62	0.1523080666
63	0.1516979264
64	0.1504767873
65	0.1499267933
66	0.1492624964
67	0.1483200308
68	0.1479206877
69	0.1472347931
70	0.1468695129
71	0.1462262564
72	0.145668225
73	0.1454177922
74	0.1447790968
75	0.1434221398
76	0.1425425452
77	0.1413527199
78	0.1409655421
79	0.140239761
80	0.1394074344
81	0.1384929607
82	0.1380858439
83	0.1376602344
84	0.1369096418
85	0.1362942166
86	0.1357966288
87	0.1352928169
88	0.1346688889
89	0.1342710031
90	0.133508169
91	0.1331367225
92	0.1326226787
93	0.1319790157
94	0.1314975402
95	0.1311739955
96	0.1300936661
97	0.1294921311
98	0.1290560143
99	0.1282933552
100	0.1278522236
101	0.1271269213
102	0.1265111065
103	0.1256731643
104	0.1250026465
105	0.124492284
106	0.1241206194
107	0.123195372
108	0.122324804
109	0.1215627189
110	0.121123529
111	0.1206162861
112	0.1199055231
113	0.11920987
114	0.118181682
115	0.117765117
116	0.1169873756
117	0.1163836624
118	0.1161378615
119	0.1158044861
120	0.1153445511
121	0.1150001705
122	0.1142965202
123	0.1136412235
124	0.113392724
125	0.1127290333
126	0.1124019202
127	0.1118791157
128	0.1115744649
129	0.1110877753
130	0.1104708321
131	0.1101389727
132	0.1094677055
133	0.1089378162
134	0.1082392466
135	0.107601419
136	0.1069607836
137	0.1066470169
138	0.1064602425
139	0.1058085018
140	0.1053303532
141	0.1048332206
142	0.104160518
143	0.10383112
144	0.1031895397
145	0.1026878057
146	0.1024290149
147	0.1021994612
148	0.1020247077
149	0.1018941265
150	0.1015134874
151	0.1010799858
152	0.1005185576
153	0.1001009043
154	0.09984723497
155	0.09937016018
156	0.09920670191
157	0.09887736461
158	0.09836985311
159	0.09805985466
160	0.09749676707
161	0.09717206734
162	0.09678050355
163	0.09616345771
164	0.09592912437
165	0.09549460193
166	0.09503697782
167	0.09499323036
168	0.09454833897
169	0.09440043452
170	0.09397487854
171	0.09349046129
172	0.09335230457
173	0.09300725226
174	0.09272338862
175	0.09241427869
176	0.09194057216
177	0.09174093953
178	0.09135092836
179	0.09105174262
180	0.09060704062
181	0.09032280848
182	0.08985220432
183	0.08957172431
184	0.08929895333
185	0.0887488324
186	0.08820044407
187	0.08766653219
188	0.08733926502
189	0.08703319664
190	0.08683696518
191	0.08654824868
192	0.08610761149
193	0.08585627671
194	0.08532155163
195	0.0848206021
196	0.08419872854
197	0.08398965118
198	0.08348380863
199	0.08289013086
